,Image,F1,Jaccard,Recall,Precision
0,archive\images\833.png,0.92616226071103,0.8624787775891342,0.8943661971830986,0.9603024574669187
1,archive\images\2069.png,0.8769448373408769,0.7808564231738035,0.9893617021276596,0.7874682472480948
2,archive\images\3038.png,0.8272884283246977,0.7054491899852725,0.7461059190031153,0.9282945736434108
3,archive\images\1169.png,0.952914798206278,0.9100642398286938,0.915948275862069,0.9929906542056075
4,archive\images\501.png,0.9626307922272048,0.9279538904899135,0.9484536082474226,0.9772382397572079
5,archive\images\31.png,0.9733634311512416,0.9481090589270009,0.9548272807794509,0.992633517495396
6,archive\images\2242.png,0.9252380952380952,0.8608772707133363,0.9363855421686746,0.9143529411764706
7,archive\images\1014.png,0.942457231726283,0.8911764705882353,0.8991097922848664,0.9901960784313726
8,archive\images\1322.png,0.9157303370786517,0.844559585492228,0.8624338624338624,0.9760479041916168
9,archive\images\1779.png,0.9213075060532687,0.8540965207631874,0.9986876640419947,0.8550561797752809
10,archive\images\1217.png,0.9650793650793651,0.9325153374233128,0.9743589743589743,0.9559748427672956
11,archive\images\1956.png,0.9124365482233503,0.838973162193699,0.8399532710280374,0.9986111111111111
12,archive\images\108.png,0.9641125121241513,0.9307116104868914,0.9390647142182333,0.9905331340308918
13,archive\images\1258.png,0.9475465313028765,0.9003215434083601,0.9523809523809523,0.9427609427609428
14,archive\images\571.png,0.9657794676806084,0.9338235294117647,0.9477611940298507,0.9844961240310077
15,archive\images\1888.png,0.5669957686882934,0.3956692913385827,0.5710227272727273,0.5630252100840336
16,archive\images\35.png,0.946058091286307,0.8976377952755905,0.926829268292683,0.9661016949152542
17,archive\images\2162.png,0.8929423319769889,0.8065906210392902,0.9651198058841371,0.8308093994778067
18,archive\images\2582.png,0.9392416628597533,0.8854435831180018,0.991321118611379,0.8923611111111112
19,archive\images\1279.png,0.5786026200873362,0.40706605222734255,0.40706605222734255,1.0
20,archive\images\749.png,0.8303571428571429,0.7099236641221374,0.8639910813823858,0.7992437263664489
21,archive\images\2122.png,0.0012406947890818859,0.0006207324643078833,0.0006230529595015577,0.14285714285714285
22,archive\images\2928.png,0.8778877887788779,0.7823529411764706,0.8412397216951296,0.9178743961352657
23,archive\images\74.png,0.975941230486685,0.953012912482066,0.9917879805897724,0.9605929139551699
24,archive\images\788.png,0.8650152338058021,0.7621381886087768,0.7731470518588681,0.9816596512327119
25,archive\images\707.png,0.9791899753859924,0.9592284085927225,0.9776586237712243,0.9807261317794711
26,archive\images\1678.png,0.9582504970178927,0.9198473282442748,0.9506903353057199,0.9659318637274549
27,archive\images\909.png,0.8657125077784692,0.7632214175992977,0.7632214175992977,1.0
28,archive\images\218.png,0.820647419072616,0.6958456973293768,0.9852941176470589,0.7031484257871065
29,archive\images\2046.png,0.9064638783269962,0.8289290681502086,0.8550932568149211,0.9644012944983819
30,archive\images\3.png,0.9695952247714978,0.940984793627806,0.9800150829562594,0.9593946105574013
31,archive\images\1270.png,0.5567010309278351,0.38571428571428573,0.7641509433962265,0.43783783783783786
32,archive\images\573.png,0.9482023156611822,0.9015063731170336,0.9688667496886675,0.9284009546539379
33,archive\images\861.png,0.3679823871677937,0.22547697051455,0.22556390977443608,0.9982935153583617
34,archive\images\2463.png,0.2664233576642336,0.15368421052631578,1.0,0.15368421052631578
35,archive\images\1326.png,0.7651195499296765,0.6195899772209568,0.6683046683046683,0.8947368421052632
36,archive\images\528.png,0.9653434152488973,0.9330085261875761,0.9922279792746114,0.939877300613497
37,archive\images\461.png,0.8688293370944993,0.7680798004987531,0.88,0.8579387186629527
38,archive\images\803.png,0.7271548930654569,0.5712830957230143,0.6519465427077281,0.8219780219780219
39,archive\images\1392.png,0.9584837545126353,0.9202772963604853,0.9637023593466425,0.9533213644524237
40,archive\images\298.png,0.9052224371373307,0.8268551236749117,0.8634686346863468,0.9512195121951219
41,archive\images\3005.png,0.5583617747440273,0.3873106060606061,0.6005873715124816,0.5216836734693877
42,archive\images\1239.png,0.927916120576671,0.8655256723716381,0.9030612244897959,0.954177897574124
43,archive\images\2839.png,0.0,0.0,0.0,0.0
44,archive\images\2605.png,0.7207245155855097,0.5633849193282845,0.9732650739476678,0.5722408026755853
45,archive\images\1529.png,0.9204647006255585,0.8526490066225165,0.9790874524714829,0.8684654300168634
46,archive\images\574.png,0.9523809523809523,0.9090909090909091,0.9957446808510638,0.9126365054602185
47,archive\images\2574.png,0.9293729372937294,0.8680641183723797,0.9676975945017182,0.893968253968254
48,archive\images\1702.png,0.9190207156308852,0.8501742160278746,0.991869918699187,0.856140350877193
49,archive\images\1732.png,0.927536231884058,0.8648648648648649,0.9906191369606003,0.8720066061106524
50,archive\images\1266.png,0.0,0.0,0.0,0.0
51,archive\images\1808.png,0.7901740020470829,0.6531302876480541,1.0,0.6531302876480541
52,archive\images\1085.png,0.7587096774193548,0.6112266112266113,0.6150627615062761,0.98989898989899
53,archive\images\653.png,0.978968596946125,0.958803611738149,0.9820809248554914,0.9758759333716255
54,archive\images\2791.png,0.5497603608683395,0.37908242612752724,0.3796728971962617,0.9959141981613892
55,archive\images\1187.png,0.9457928802588996,0.8971603990790483,0.9034003091190108,0.9923599320882852
56,archive\images\2744.png,0.8568294020844761,0.7495201535508638,0.8084886128364389,0.911318553092182
57,archive\images\1023.png,0.9192982456140351,0.8506493506493507,0.8534201954397395,0.9961977186311787
58,archive\images\1667.png,0.0,0.0,0.0,0.0
59,archive\images\904.png,0.9533678756476683,0.9108910891089109,0.9967497291440953,0.913604766633565
60,archive\images\701.png,0.9619087484303056,0.9266129032258065,0.9394930498773508,0.9854202401372213
61,archive\images\381.png,0.9603174603174603,0.9236641221374046,0.969551282051282,0.9512578616352201
62,archive\images\478.png,0.0,0.0,0.0,0.0
63,archive\images\1354.png,0.9532075471698114,0.9105984138428262,0.9670750382848392,0.9397321428571429
64,archive\images\2701.png,0.9574175824175825,0.9183135704874835,0.9349429912810194,0.9809992962702322
65,archive\images\1689.png,0.9070958302852963,0.8299866131191432,0.9131075110456554,0.9011627906976745
66,archive\images\2672.png,0.7254775702940545,0.5692152239811384,0.5709459459459459,0.9947027663331371
67,archive\images\2524.png,0.0,0.0,0.0,0.0
68,archive\images\2026.png,0.0,0.0,0.0,0.0
69,archive\images\2356.png,0.9062825407844498,0.8286258330688671,0.9328331546981065,0.8812014849814377
70,archive\images\527.png,0.9297597042513863,0.8687392055267703,0.9940711462450593,0.8732638888888888
71,archive\images\1142.png,0.9204693611473272,0.8526570048309179,0.9971751412429378,0.8547215496368039
72,archive\images\1562.png,0.8514285714285714,0.7412935323383084,0.9834983498349835,0.7506297229219143
73,archive\images\1668.png,0.9168975069252078,0.8465473145780051,0.8710526315789474,0.9678362573099415
74,archive\images\1837.png,0.9606114050558495,0.9242081447963801,0.9831528279181708,0.9390804597701149
75,archive\images\294.png,0.9583333333333334,0.92,0.9302649930264993,0.9881481481481481
76,archive\images\2157.png,0.5949579831932773,0.423444976076555,0.4244604316546763,0.9943820224719101
77,archive\images\2528.png,0.9058940069341258,0.8279764599366229,0.9682371625198518,0.8510935318752908
78,archive\images\2527.png,0.8306201550387597,0.7103082532316871,0.7274270196877122,0.9679313459801264
79,archive\images\2075.png,0.798790078644888,0.6649879129734085,0.7493757094211124,0.8551813471502591
80,archive\images\2322.png,0.7698986975397974,0.6258823529411764,0.6258823529411764,1.0
81,archive\images\3034.png,0.8249446902654868,0.7020475405977877,0.7027090694935217,0.9986608637428859
82,archive\images\1851.png,0.8104089219330854,0.68125,0.823262839879154,0.7979502196193266
83,archive\images\676.png,0.9665369649805448,0.9352409638554217,0.9495412844036697,0.9841521394611727
84,archive\images\1818.png,0.8898395721925134,0.8015414258188824,0.9651972157772621,0.8253968253968254
85,archive\images\2906.png,0.0,0.0,0.0,0.0
86,archive\images\1840.png,0.830122591943958,0.7095808383233533,1.0,0.7095808383233533
87,archive\images\560.png,0.18494835218888342,0.1018970189701897,0.1018970189701897,1.0
88,archive\images\1337.png,0.9218595450049456,0.8550458715596331,0.9872881355932204,0.8645640074211502
89,archive\images\1384.png,0.8322981366459627,0.7127659574468085,0.9882005899705014,0.7188841201716738
90,archive\images\2936.png,0.8861141011840689,0.7955160417471975,0.9423076923076923,0.8362454286875254
91,archive\images\1579.png,0.9471264367816092,0.8995633187772926,0.9840764331210191,0.912850812407681
92,archive\images\678.png,0.9515418502202643,0.907563025210084,0.927400468384075,0.9769736842105263
93,archive\images\555.png,0.9605263157894737,0.9240506329113924,0.9678030303030303,0.9533582089552238
94,archive\images\1885.png,0.8972746331236897,0.8136882129277566,0.9106382978723404,0.8842975206611571
95,archive\images\2471.png,0.5188735769922109,0.35032362459546923,1.0,0.35032362459546923
96,archive\images\1769.png,0.9709241952232607,0.9434914228052472,0.9689119170984456,0.9729448491155047
97,archive\images\1720.png,0.872093023255814,0.7731958762886598,0.819672131147541,0.9316770186335404
98,archive\images\2465.png,0.7842767295597485,0.6451112260734609,0.9936254980079682,0.6477922077922078
99,archive\images\2255.png,0.24979724249797242,0.14272474513438368,0.14285714285714285,0.9935483870967742
100,archive\images\1960.png,0.0,0.0,0.0,0.0
101,archive\images\21.png,0.9338023664854493,0.8758248350329934,0.9931972789115646,0.8811104405552203
102,archive\images\26.png,0.8314606741573034,0.7115384615384616,1.0,0.7115384615384616
103,archive\images\2405.png,0.9017681728880157,0.8211091234347049,0.8429752066115702,0.9693769799366421
104,archive\images\335.png,0.9238210399032648,0.8584269662921349,0.8741418764302059,0.9794871794871794
105,archive\images\893.png,0.9461206896551724,0.8977505112474438,0.977728285077951,0.9164926931106472
106,archive\images\2606.png,0.7861482381530984,0.6476476476476476,0.80099040544723,0.7718461079630182
107,archive\images\11.png,0.9641611163970821,0.9308022045315371,0.9857328145265889,0.9435133457479826
108,archive\images\2980.png,0.9430255402750491,0.8921933085501859,0.9022556390977443,0.9876543209876543
109,archive\images\3011.png,0.0,0.0,0.0,0.0
110,archive\images\717.png,0.5544907510586138,0.38359543632439097,0.38359543632439097,1.0
111,archive\images\277.png,0.9836580766813325,0.9678416821273964,0.9867591424968474,0.9805764411027569
112,archive\images\2979.png,0.9648682559598495,0.9321212121212121,0.9540942928039702,0.9758883248730964
113,archive\images\2275.png,0.8680184987548915,0.7668133249528598,0.7721518987341772,0.9910641754670999
114,archive\images\1866.png,0.5452627136526693,0.37481868291267767,0.37481868291267767,1.0
115,archive\images\1344.png,0.9302325581395349,0.8695652173913043,0.9090909090909091,0.9523809523809523
116,archive\images\2137.png,0.8610846812559467,0.7560568086883876,0.7754927163667523,0.9679144385026738
117,archive\images\2072.png,0.5632033499084009,0.39198542805100184,0.8877887788778878,0.41241855116903026
118,archive\images\1137.png,0.9207547169811321,0.8531468531468531,0.8606701940035273,0.9898580121703854
119,archive\images\1906.png,0.9404539385847797,0.8876008064516129,0.9162330905306972,0.965990126165661
120,archive\images\1495.png,0.9543026706231454,0.9125993189557321,0.9436619718309859,0.9651860744297719
121,archive\images\694.png,0.9103291713961408,0.8354166666666667,0.9134396355353075,0.9072398190045249
122,archive\images\336.png,0.9665158371040724,0.9352014010507881,0.9484902309058615,0.985239852398524
123,archive\images\1560.png,0.9472527472527472,0.8997912317327766,0.9685393258426966,0.9268817204301075
124,archive\images\1546.png,0.954228855721393,0.9124643196955281,0.9927536231884058,0.9185823754789272
125,archive\images\1969.png,0.6770708283313326,0.5117967332123412,0.990632318501171,0.5142857142857142
126,archive\images\2459.png,0.9498031496062992,0.9044048734770385,0.9299710889816897,0.9704994971505196
127,archive\images\587.png,0.9718706047819972,0.945280437756498,0.96105702364395,0.9829302987197724
128,archive\images\2662.png,0.6292481977342945,0.459053343350864,0.4876296887470072,0.8867924528301887
129,archive\images\2930.png,0.8828264758497316,0.7902321857485989,0.9989878542510121,0.7908653846153846
130,archive\images\943.png,0.9513381995133819,0.9071925754060325,0.9490291262135923,0.9536585365853658
131,archive\images\1794.png,0.9235294117647059,0.8579234972677595,0.8870056497175142,0.9631901840490797
132,archive\images\3043.png,0.3801125703564728,0.23465369469539032,0.9960668633235005,0.23487131926733132
133,archive\images\2380.png,0.8541788427819988,0.7454730935985718,0.7519938255724209,0.9885018599932364
134,archive\images\126.png,0.9514893617021276,0.9074675324675324,0.9704861111111112,0.9332220367278798
135,archive\images\1147.png,0.9459172852598091,0.89738430583501,0.9802197802197802,0.9139344262295082
136,archive\images\1883.png,0.8430813124108416,0.7287299630086314,0.7287299630086314,1.0
137,archive\images\2176.png,0.8470678420850901,0.7347074468085106,0.8680282796543598,0.8270958083832335
138,archive\images\2304.png,0.8252390057361376,0.7024739583333334,0.7084701247537755,0.9880952380952381
139,archive\images\369.png,0.9146919431279621,0.8427947598253275,0.8654708520179372,0.9698492462311558
140,archive\images\2228.png,0.0,0.0,0.0,0.0
141,archive\images\2114.png,0.9356435643564357,0.8790697674418605,0.9969856819894499,0.8814123917388408
142,archive\images\451.png,0.95625,0.9161676646706587,0.918,0.9978260869565218
143,archive\images\1916.png,0.5980234428866927,0.42655737704918034,0.42655737704918034,1.0
144,archive\images\2349.png,0.17915904936014626,0.09839357429718876,0.09839357429718876,1.0
145,archive\images\2530.png,0.6128205128205129,0.4417744916820702,0.8475177304964538,0.4799196787148594
146,archive\images\1419.png,0.940809968847352,0.888235294117647,0.9837133550488599,0.9014925373134328
147,archive\images\86.png,0.9171457558336151,0.8469706433479075,0.9811866859623734,0.8609523809523809
148,archive\images\2725.png,0.8976645435244162,0.8143297380585516,0.9424877396344182,0.8569112282124037
149,archive\images\1013.png,0.8943894389438944,0.808955223880597,0.9033333333333333,0.8856209150326797
150,archive\images\777.png,0.7342874922215308,0.5801376597836775,0.9204368174726989,0.6107660455486542
151,archive\images\2995.png,0.6176226101413134,0.44678292242934453,0.6150662251655629,0.6202003338898163
152,archive\images\2992.png,0.9682268534335498,0.93841059602649,0.9610037300779926,0.9755593803786575
153,archive\images\1968.png,0.88802543270929,0.7986022871664549,0.8568507157464212,0.9215542521994134
154,archive\images\1191.png,0.905940594059406,0.8280542986425339,0.9320882852292021,0.8812199036918138
155,archive\images\2956.png,0.6494845360824743,0.48091603053435117,0.5121951219512195,0.8873239436619719
156,archive\images\2187.png,0.9409486931268151,0.8884826325411335,0.9310344827586207,0.9510763209393346
157,archive\images\2248.png,0.8578227245687091,0.7510416666666667,0.8119369369369369,0.9092055485498108
158,archive\images\1452.png,0.9341692789968652,0.8764705882352941,0.9030303030303031,0.9675324675324676
159,archive\images\2525.png,0.6724447101016139,0.5065285907248986,0.8052970651395849,0.5772190867111339
160,archive\images\1108.png,0.8115246098439376,0.6828282828282828,0.8407960199004975,0.7842227378190255
161,archive\images\2787.png,0.6454402515723271,0.4764944863609983,0.513125,0.8697033898305084
162,archive\images\602.png,0.9100436681222708,0.8349358974358975,0.8533988533988534,0.9747427502338635
163,archive\images\227.png,0.7909774436090226,0.654228855721393,0.9704797047970479,0.6675126903553299
164,archive\images\1567.png,0.9554896142433235,0.9147727272727273,0.9415204678362573,0.9698795180722891
165,archive\images\1076.png,0.0,0.0,0.0,0.0
166,archive\images\2565.png,0.9005186232909005,0.8190394511149228,0.8287532542667052,0.9858912594631797
167,archive\images\1075.png,0.006756756756756757,0.003389830508474576,0.003389830508474576,1.0
168,archive\images\824.png,0.23787409700722395,0.1349926793557833,0.1349926793557833,1.0
169,archive\images\2543.png,0.9326980345443716,0.8738839285714286,0.9987244897959183,0.8748603351955307
170,archive\images\460.png,0.9651741293532339,0.9326923076923077,0.9509803921568627,0.9797979797979798
171,archive\images\1751.png,0.9471698113207547,0.899641577060932,0.9653846153846154,0.9296296296296296
172,archive\images\1390.png,0.9424157303370787,0.8911022576361222,0.9030955585464334,0.9853157121879589
173,archive\images\754.png,0.6437448218724109,0.4746487477092242,0.47697974217311234,0.9898089171974522
174,archive\images\117.png,0.5501739363125502,0.37947582133628643,0.39132089836315187,0.9261261261261261
175,archive\images\941.png,0.8689771766694844,0.7683109118086696,0.8756388415672913,0.8624161073825504
176,archive\images\347.png,0.9447316103379721,0.8952524491333835,0.9519230769230769,0.9376479873717443
177,archive\images\247.png,0.9069767441860465,0.8297872340425532,0.972568578553616,0.8496732026143791
178,archive\images\837.png,0.0,0.0,0.0,0.0
179,archive\images\1225.png,0.9025641025641026,0.822429906542056,0.8407643312101911,0.974169741697417
180,archive\images\1428.png,0.9646302250803859,0.9316770186335404,0.9493670886075949,0.9803921568627451
181,archive\images\2926.png,0.321875,0.19180633147113593,0.19180633147113593,1.0
182,archive\images\1774.png,0.8751529987760098,0.7780195865070729,0.975443383356071,0.7935627081021087
183,archive\images\2107.png,0.8611698379140239,0.7561881188118812,0.836986301369863,0.8867924528301887
184,archive\images\552.png,0.9302554027504911,0.869605142332415,0.9783057851239669,0.8867041198501873
185,archive\images\925.png,0.9556420233463035,0.9150521609538003,0.9388379204892966,0.9730586370839936
186,archive\images\284.png,0.0,0.0,0.0,0.0
187,archive\images\2780.png,0.01263157894736842,0.006355932203389831,0.006355932203389831,1.0
188,archive\images\860.png,0.6625631313131313,0.4953976870427189,0.4962174940898345,0.99667616334283
189,archive\images\375.png,0.9750132908027644,0.9512448132780082,0.9821492324169939,0.9679802955665024
190,archive\images\834.png,0.8060249816311535,0.6750769230769231,0.7835714285714286,0.829803328290469
191,archive\images\2642.png,0.0,0.0,0.0,0.0
192,archive\images\1375.png,0.8010335917312662,0.6681034482758621,0.9935897435897436,0.670995670995671
193,archive\images\681.png,0.9811690859160455,0.9630342703118984,0.9908874801901744,0.9716394716394716
194,archive\images\384.png,0.970316301703163,0.94234404536862,0.9930278884462151,0.9486203615604186
195,archive\images\2154.png,0.0,0.0,0.0,0.0
196,archive\images\1657.png,0.9262536873156342,0.8626373626373627,0.9751552795031055,0.8820224719101124
197,archive\images\69.png,0.9547088425593099,0.9133425034387895,0.9837037037037037,0.9273743016759777
198,archive\images\1568.png,0.906318082788671,0.8286852589641435,0.9629629629629629,0.8559670781893004
199,archive\images\222.png,0.9797047970479705,0.9602169981916817,0.9779005524861878,0.9815157116451017
200,archive\images\269.png,0.9131205673758865,0.8401305057096248,0.9698681732580038,0.8626465661641541
201,archive\images\3041.png,0.0,0.0,0.0,0.0
202,archive\images\1043.png,0.8601346297681376,0.7545931758530183,0.7697456492637216,0.9745762711864406
